x,y,id,area_m
-127.5,-41.5,14,9273189376
-126.5,-41.5,14,9273189376
-125.5,-41.5,14,9273189376
-124.5,-41.5,11,9273189376
-123.5,-41.5,11,9273189376
-122.5,-41.5,11,9273189376
-121.5,-41.5,11,9273189376
-120.5,-41.5,11,9273189376
-119.5,-41.5,11,9273189376
-118.5,-41.5,11,9273189376
-117.5,-41.5,11,9273189376
-116.5,-41.5,11,9273189376
-115.5,-41.5,11,9273189376
-114.5,-41.5,11,9273189376
-113.5,-41.5,11,9273189376
-112.5,-41.5,11,9273189376
-111.5,-41.5,11,9273189376
-110.5,-41.5,11,9273189376
-109.5,-41.5,11,9273189376
-108.5,-41.5,11,9273189376
-107.5,-41.5,11,9273189376
-106.5,-41.5,11,9273189376
-105.5,-41.5,11,9273189376
-104.5,-41.5,11,9273189376
-103.5,-41.5,11,9273189376
-102.5,-41.5,11,9273189376
-101.5,-41.5,11,9273189376
-100.5,-41.5,11,9273189376
-99.5,-41.5,11,9273189376
-98.5,-41.5,11,9273189376
-97.5,-41.5,11,9273189376
-96.5,-41.5,11,9273189376
-95.5,-41.5,11,9273189376
-94.5,-41.5,11,9273189376
-93.5,-41.5,11,9273189376
-92.5,-41.5,11,9273189376
-91.5,-41.5,11,9273189376
-90.5,-41.5,11,9273189376
-89.5,-41.5,11,9273189376
-88.5,-41.5,11,9273189376
-87.5,-41.5,11,9273189376
-86.5,-41.5,11,9273189376
-85.5,-41.5,11,9273189376
-84.5,-41.5,11,9273189376
-83.5,-41.5,11,9273189376
-82.5,-41.5,11,9273189376
-81.5,-41.5,11,9273189376
-80.5,-41.5,11,9273189376
-79.5,-41.5,11,9273189376
-48.5,-41.5,2,9273189376
-47.5,-41.5,2,9273189376
-46.5,-41.5,2,9273189376
-45.5,-41.5,2,9273189376
-44.5,-41.5,2,9273189376
-43.5,-41.5,2,9273189376
-42.5,-41.5,2,9273189376
-41.5,-41.5,2,9273189376
-40.5,-41.5,2,9273189376
-39.5,-41.5,2,9273189376
-38.5,-41.5,2,9273189376
-20.5,-41.5,2,9273189376
-19.5,-41.5,2,9273189376
-18.5,-41.5,2,9273189376
-17.5,-41.5,2,9273189376
-16.5,-41.5,2,9273189376
-15.5,-41.5,2,9273189376
-14.5,-41.5,2,9273189376
-13.5,-41.5,2,9273189376
-12.5,-41.5,2,9273189376
-11.5,-41.5,2,9273189376
-10.5,-41.5,2,9273189376
-9.5,-41.5,2,9273189376
-8.5,-41.5,2,9273189376
-7.5,-41.5,2,9273189376
-6.5,-41.5,2,9273189376
-5.5,-41.5,2,9273189376
-4.5,-41.5,2,9273189376
-3.5,-41.5,2,9273189376
-2.5,-41.5,2,9273189376
-1.5,-41.5,2,9273189376
-0.5,-41.5,2,9273189376
0.5,-41.5,2,9273189376
1.5,-41.5,2,9273189376
2.5,-41.5,2,9273189376
3.5,-41.5,2,9273189376
4.5,-41.5,2,9273189376
5.5,-41.5,2,9273189376
6.5,-41.5,2,9273189376
7.5,-41.5,2,9273189376
8.5,-41.5,2,9273189376
9.5,-41.5,2,9273189376
10.5,-41.5,2,9273189376
11.5,-41.5,2,9273189376
12.5,-41.5,2,9273189376
13.5,-41.5,2,9273189376
14.5,-41.5,2,9273189376
15.5,-41.5,2,9273189376
16.5,-41.5,2,9273189376
17.5,-41.5,2,9273189376
18.5,-41.5,2,9273189376
19.5,-41.5,2,9273189376
20.5,-41.5,2,9273189376
21.5,-41.5,2,9273189376
22.5,-41.5,2,9273189376
23.5,-41.5,2,9273189376
24.5,-41.5,2,9273189376
25.5,-41.5,2,9273189376
26.5,-41.5,2,9273189376
27.5,-41.5,2,9273189376
28.5,-41.5,2,9273189376
29.5,-41.5,2,9273189376
30.5,-41.5,2,9273189376
31.5,-41.5,5,9273189376
32.5,-41.5,5,9273189376
33.5,-41.5,5,9273189376
34.5,-41.5,5,9273189376
35.5,-41.5,5,9273189376
36.5,-41.5,5,9273189376
37.5,-41.5,5,9273189376
38.5,-41.5,5,9273189376
39.5,-41.5,5,9273189376
40.5,-41.5,5,9273189376
41.5,-41.5,5,9273189376
42.5,-41.5,5,9273189376
43.5,-41.5,5,9273189376
44.5,-41.5,5,9273189376
45.5,-41.5,5,9273189376
46.5,-41.5,5,9273189376
47.5,-41.5,5,9273189376
78.5,-41.5,5,9273189376
79.5,-41.5,5,9273189376
80.5,-41.5,5,9273189376
81.5,-41.5,5,9273189376
82.5,-41.5,5,9273189376
83.5,-41.5,5,9273189376
84.5,-41.5,5,9273189376
85.5,-41.5,5,9273189376
86.5,-41.5,5,9273189376
87.5,-41.5,5,9273189376
88.5,-41.5,5,9273189376
89.5,-41.5,5,9273189376
90.5,-41.5,5,9273189376
91.5,-41.5,5,9273189376
92.5,-41.5,5,9273189376
93.5,-41.5,5,9273189376
94.5,-41.5,5,9273189376
95.5,-41.5,5,9273189376
96.5,-41.5,5,9273189376
97.5,-41.5,5,9273189376
98.5,-41.5,5,9273189376
99.5,-41.5,5,9273189376
100.5,-41.5,5,9273189376
101.5,-41.5,5,9273189376
102.5,-41.5,5,9273189376
103.5,-41.5,5,9273189376
104.5,-41.5,5,9273189376
105.5,-41.5,5,9273189376
106.5,-41.5,5,9273189376
107.5,-41.5,5,9273189376
108.5,-41.5,5,9273189376
109.5,-41.5,5,9273189376
110.5,-41.5,5,9273189376
111.5,-41.5,5,9273189376
112.5,-41.5,5,9273189376
113.5,-41.5,5,9273189376
114.5,-41.5,5,9273189376
115.5,-41.5,8,9273189376
116.5,-41.5,8,9273189376
117.5,-41.5,8,9273189376
118.5,-41.5,8,9273189376
119.5,-41.5,8,9273189376
120.5,-41.5,8,9273189376
121.5,-41.5,8,9273189376
122.5,-41.5,8,9273189376
123.5,-41.5,8,9273189376
124.5,-41.5,8,9273189376
125.5,-41.5,8,9273189376
126.5,-41.5,8,9273189376
127.5,-41.5,8,9273189376
128.5,-41.5,8,9273189376
129.5,-41.5,8,9273189376
130.5,-41.5,8,9273189376
131.5,-41.5,8,9273189376
132.5,-41.5,8,9273189376
133.5,-41.5,8,9273189376
134.5,-41.5,8,9273189376
135.5,-41.5,8,9273189376
-170.5,-42.5,14,9130708992
-169.5,-42.5,14,9130708992
-168.5,-42.5,14,9130708992
-167.5,-42.5,14,9130708992
-166.5,-42.5,14,9130708992
-165.5,-42.5,14,9130708992
-164.5,-42.5,14,9130708992
-163.5,-42.5,14,9130708992
-162.5,-42.5,14,9130708992
-161.5,-42.5,14,9130708992
-160.5,-42.5,14,9130708992
-159.5,-42.5,14,9130708992
-158.5,-42.5,14,9130708992
-157.5,-42.5,14,9130708992
-156.5,-42.5,14,9130708992
-155.5,-42.5,14,9130708992
-154.5,-42.5,14,9130708992
-153.5,-42.5,14,9130708992
-152.5,-42.5,14,9130708992
-151.5,-42.5,14,9130708992
-150.5,-42.5,14,9130708992
-149.5,-42.5,14,9130708992
-148.5,-42.5,14,9130708992
-147.5,-42.5,14,9130708992
-146.5,-42.5,14,9130708992
-145.5,-42.5,14,9130708992
-144.5,-42.5,14,9130708992
-143.5,-42.5,14,9130708992
-142.5,-42.5,14,9130708992
-141.5,-42.5,14,9130708992
-140.5,-42.5,14,9130708992
-139.5,-42.5,14,9130708992
-138.5,-42.5,14,9130708992
-137.5,-42.5,14,9130708992
-136.5,-42.5,14,9130708992
-135.5,-42.5,14,9130708992
-134.5,-42.5,14,9130708992
-133.5,-42.5,14,9130708992
-132.5,-42.5,14,9130708992
-131.5,-42.5,14,9130708992
-130.5,-42.5,14,9130708992
-129.5,-42.5,14,9130708992
-128.5,-42.5,14,9130708992
-127.5,-42.5,14,9130708992
-126.5,-42.5,14,9130708992
-125.5,-42.5,14,9130708992
-124.5,-42.5,11,9130708992
-123.5,-42.5,11,9130708992
-122.5,-42.5,11,9130708992
-121.5,-42.5,11,9130708992
-120.5,-42.5,11,9130708992
-119.5,-42.5,11,9130708992
-118.5,-42.5,11,9130708992
-117.5,-42.5,11,9130708992
-116.5,-42.5,11,9130708992
-115.5,-42.5,11,9130708992
-114.5,-42.5,11,9130708992
-113.5,-42.5,11,9130708992
-112.5,-42.5,11,9130708992
-111.5,-42.5,11,9130708992
-110.5,-42.5,11,9130708992
-109.5,-42.5,11,9130708992
-108.5,-42.5,11,9130708992
-107.5,-42.5,11,9130708992
-106.5,-42.5,11,9130708992
-105.5,-42.5,11,9130708992
-104.5,-42.5,11,9130708992
-103.5,-42.5,11,9130708992
-102.5,-42.5,11,9130708992
-101.5,-42.5,11,9130708992
-100.5,-42.5,11,9130708992
-99.5,-42.5,11,9130708992
-98.5,-42.5,11,9130708992
-97.5,-42.5,11,9130708992
-96.5,-42.5,11,9130708992
-95.5,-42.5,11,9130708992
-94.5,-42.5,11,9130708992
-93.5,-42.5,11,9130708992
-92.5,-42.5,11,9130708992
-91.5,-42.5,11,9130708992
-90.5,-42.5,11,9130708992
-89.5,-42.5,11,9130708992
-88.5,-42.5,11,9130708992
-87.5,-42.5,11,9130708992
-86.5,-42.5,11,9130708992
-85.5,-42.5,11,9130708992
-84.5,-42.5,11,9130708992
-83.5,-42.5,11,9130708992
-82.5,-42.5,11,9130708992
-81.5,-42.5,11,9130708992
-80.5,-42.5,11,9130708992
-79.5,-42.5,11,9130708992
-48.5,-42.5,2,9130708992
-47.5,-42.5,2,9130708992
-46.5,-42.5,2,9130708992
-45.5,-42.5,2,9130708992
-44.5,-42.5,2,9130708992
-43.5,-42.5,2,9130708992
-42.5,-42.5,2,9130708992
-41.5,-42.5,2,9130708992
-40.5,-42.5,2,9130708992
-39.5,-42.5,2,9130708992
-38.5,-42.5,2,9130708992
-37.5,-42.5,2,9130708992
-36.5,-42.5,2,9130708992
-35.5,-42.5,2,9130708992
-34.5,-42.5,2,9130708992
-33.5,-42.5,2,9130708992
-32.5,-42.5,2,9130708992
-31.5,-42.5,2,9130708992
-30.5,-42.5,2,9130708992
-29.5,-42.5,2,9130708992
-28.5,-42.5,2,9130708992
-27.5,-42.5,2,9130708992
-26.5,-42.5,2,9130708992
-25.5,-42.5,2,9130708992
-24.5,-42.5,2,9130708992
-23.5,-42.5,2,9130708992
-22.5,-42.5,2,9130708992
-21.5,-42.5,2,9130708992
-20.5,-42.5,2,9130708992
-19.5,-42.5,2,9130708992
-18.5,-42.5,2,9130708992
-17.5,-42.5,2,9130708992
-16.5,-42.5,2,9130708992
-15.5,-42.5,2,9130708992
-14.5,-42.5,2,9130708992
-13.5,-42.5,2,9130708992
-12.5,-42.5,2,9130708992
-11.5,-42.5,2,9130708992
