x,y,Name,area_m
0.5,-49.5,4,8056095232
1.5,-49.5,4,8056095232
2.5,-49.5,4,8056095232
3.5,-49.5,4,8056095232
4.5,-49.5,4,8056095232
5.5,-49.5,4,8056095232
6.5,-49.5,4,8056095232
7.5,-49.5,4,8056095232
8.5,-49.5,4,8056095232
9.5,-49.5,4,8056095232
10.5,-49.5,4,8056095232
11.5,-49.5,4,8056095232
12.5,-49.5,4,8056095232
13.5,-49.5,4,8056095232
14.5,-49.5,4,8056095232
15.5,-49.5,4,8056095232
16.5,-49.5,4,8056095232
17.5,-49.5,4,8056095232
18.5,-49.5,4,8056095232
19.5,-49.5,4,8056095232
20.5,-49.5,4,8056095232
21.5,-49.5,4,8056095232
22.5,-49.5,4,8056095232
23.5,-49.5,4,8056095232
24.5,-49.5,4,8056095232
25.5,-49.5,4,8056095232
26.5,-49.5,4,8056095232
27.5,-49.5,4,8056095232
28.5,-49.5,4,8056095232
29.5,-49.5,4,8056095232
30.5,-49.5,5,8056095232
31.5,-49.5,5,8056095232
32.5,-49.5,5,8056095232
33.5,-49.5,5,8056095232
34.5,-49.5,5,8056095232
35.5,-49.5,5,8056095232
36.5,-49.5,5,8056095232
37.5,-49.5,5,8056095232
38.5,-49.5,5,8056095232
39.5,-49.5,5,8056095232
40.5,-49.5,5,8056095232
41.5,-49.5,5,8056095232
42.5,-49.5,5,8056095232
43.5,-49.5,5,8056095232
44.5,-49.5,5,8056095232
45.5,-49.5,5,8056095232
46.5,-49.5,5,8056095232
47.5,-49.5,5,8056095232
48.5,-49.5,5,8056095232
49.5,-49.5,5,8056095232
50.5,-49.5,5,8056095232
51.5,-49.5,5,8056095232
52.5,-49.5,5,8056095232
53.5,-49.5,5,8056095232
54.5,-49.5,5,8056095232
55.5,-49.5,5,8056095232
56.5,-49.5,5,8056095232
57.5,-49.5,5,8056095232
58.5,-49.5,5,8056095232
59.5,-49.5,5,8056095232
60.5,-49.5,6,8056095232
61.5,-49.5,6,8056095232
62.5,-49.5,6,8056095232
63.5,-49.5,6,8056095232
64.5,-49.5,6,8056095232
65.5,-49.5,6,8056095232
66.5,-49.5,6,8056095232
67.5,-49.5,6,8056095232
68.5,-49.5,6,8056095232
69.5,-49.5,6,8056095232
70.5,-49.5,6,8056095232
71.5,-49.5,6,8056095232
